Profitability;Leverage;Bankruptcy
0.022806;0.7816;1
-0.063584;0.7325;1
-0.22786;1.2361;1
0.021364;0.735;1
0.042058;0.6339;1
0.021662;0.8614;1
0.023952;0.6527;1
0.000005;0.7385;1
0.020702;0.8954;1
-0.00664;0.7009;1
0.021634;0.7338;1
-0.023206;0.8226;1
-0.263667;0.9085;1
-0.047161;0.9275;1
-0.098931;0.7617;1
0.140857;0.7802;1
-0.018031;0.6187;1
0.047647;0.5294;1
-0.267393;1.0289;1
-0.105816;0.6542;1
-0.013929;0.7181;1
0.001215;0.8653;1
-0.012698;1;1
-0.02199;0.8811;1
0.039147;0.5987;1
-0.0003;0.9213;1
-0.071546;1.0254;1
0.004256;0.7058;1
-0.003599;0.4086;1
-0.029814;0.6017;1
0.030197;0.7866;1
-0.016912;0.9428;1
0.026682;0.5173;1
-0.052413;0.4983;1
-0.408583;0.6821;1
-0.01596;0.6915;1
0.022807;0.8348;1
0.055888;0.6986;1
0.025634;1.0152;1
-0.599016;1.4633;1
0.044064;0.4001;1
-0.121531;0.8697;1
-0.000172;0.6131;-1
-0.156216;1.0584;-1
0.012473;0.6254;-1
0.081731;0.2701;-1
0.080826;0.5593;-1
0.033538;0.7468;-1
0.036645;0.5338;-1
0.052686;0.7101;-1
0.122404;0.27;-1
0.068682;0.7182;-1
0.030576;0.6175;-1
0.094346;0.7293;-1
0.091535;0.4425;-1
0.058916;0.6997;-1
0.186226;0.7254;-1
0.072777;0.5797;-1
0.101209;0.4526;-1
0.015374;0.8504;-1
0.047247;0.5918;-1
-0.085583;0.5945;-1
0.033137;0.516;-1
0.016055;1.1353;-1
0.008357;0.9068;-1
0.03496;0.7169;-1
0.046514;0.3473;-1
-0.08451;0.8422;-1
0.029492;0.8319;-1
0.045271;0.5813;-1
0.041463;0.3619;-1
0.030059;0.9479;-1
0.023445;0.6856;-1
0.046705;0.4164;-1
0.127897;0.3694;-1
0.050956;0.6073;-1
0.020425;0.5295;-1
0.035311;0.6796;-1
0.066434;0.5303;-1
0.06655;0.7194;-1
0.055333;0.8063;-1
0.015738;0.6294;-1
-0.034455;0.3446;-1
0.004824;0.5705;-1
